ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
300	CCSS.MATH.CONTENT.6.EE.B.6	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Use variables to represent numbers and write expressions when solving a real-world or mathematical problem; understand that a variable can represent an unknown number, or, depending on the purpose at hand, any number in a specified set.
301	CCSS.MATH.CONTENT.6.EE.B.7	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.
302	CCSS.MATH.CONTENT.6.EE.B.8	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.
303	CCSS.MATH.CONTENT.6.EE.C	cluster	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Represent and analyze quantitative relationships between dependent and independent variables.
304	CCSS.MATH.CONTENT.6.EE.C.9	standard	Grade 6: Expressions and Equations	math-content-standards	Expressions and Equations	6	Use variables to represent two quantities in a real-world problem that change in relationship to one another; write an equation to express one quantity, thought of as the dependent variable, in terms of the other quantity, thought of as the independent variable. Analyze the relationship between the dependent and independent variables using graphs and tables, and relate these to the equation.
305	CCSS.MATH.CONTENT.6.G.A	cluster	Grade 6: Geometry	math-content-standards	Geometry	6	Solve real-world and mathematical problems involving area, surface area, and volume.
306	CCSS.MATH.CONTENT.6.G.A.1	standard	Grade 6: Geometry	math-content-standards	Geometry	6	Find the area of right triangles, other triangles, special quadrilaterals, and polygons by composing into rectangles or decomposing into triangles and other shapes; apply these techniques in the context of solving real-world and mathematical problems.
307	CCSS.MATH.CONTENT.6.G.A.2	standard	Grade 6: Geometry	math-content-standards	Geometry	6	Find the volume of a right rectangular prism with fractional edge lengths by packing it with unit cubes of the appropriate unit fraction edge lengths, and show that the volume is the same as would be found by multiplying the edge lengths of the prism. Apply the formulas V = l w h and V = b h to find volumes of right rectangular prisms with fractional edge lengths in the context of solving real-world and mathematical problems.
308	CCSS.MATH.CONTENT.6.G.A.3	standard	Grade 6: Geometry	math-content-standards	Geometry	6	Draw polygons in the coordinate plane given coordinates for the vertices; use coordinates to find the length of a side joining points with the same first coordinate or the same second coordinate. Apply these techniques in the context of solving real-world and mathematical problems.
309	CCSS.MATH.CONTENT.6.G.A.4	standard	Grade 6: Geometry	math-content-standards	Geometry	6	Represent three-dimensional figures using nets made up of rectangles and triangles, and use the nets to find the surface area of these figures. Apply these techniques in the context of solving real-world and mathematical problems.
310	CCSS.MATH.CONTENT.6.SP.A	cluster	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Develop understanding of statistical variability.
311	CCSS.MATH.CONTENT.6.SP.A.1	standard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Recognize a statistical question as one that anticipates variability in the data related to the question and accounts for it in the answers.
312	CCSS.MATH.CONTENT.6.SP.A.2	standard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Understand that a set of data collected to answer a statistical question has a distribution which can be described by its center, spread, and overall shape.
313	CCSS.MATH.CONTENT.6.SP.A.3	standard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Recognize that a measure of center for a numerical data set summarizes all of its values with a single number, while a measure of variation describes how its values vary with a single number.
314	CCSS.MATH.CONTENT.6.SP.B	cluster	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Summarize and describe distributions.
315	CCSS.MATH.CONTENT.6.SP.B.4	standard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Display numerical data in plots on a number line, including dot plots, histograms, and box plots.
316	CCSS.MATH.CONTENT.6.SP.B.5	standard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Summarize numerical data sets in relation to their context, such as by:
317	CCSS.MATH.CONTENT.6.SP.B.5.A	substandard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Reporting the number of observations.
318	CCSS.MATH.CONTENT.6.SP.B.5.B	substandard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Describing the nature of the attribute under investigation, including how it was measured and its units of measurement.
319	CCSS.MATH.CONTENT.6.SP.B.5.C	substandard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Giving quantitative measures of center (median and/or mean) and variability (interquartile range and/or mean absolute deviation), as well as describing any overall pattern and any striking deviations from the overall pattern with reference to the context in which the data were gathered.
320	CCSS.MATH.CONTENT.6.SP.B.5.D	substandard	Grade 6: Statistics and Probability	math-content-standards	Statistics and Probability	6	Relating the choice of measures of center and variability to the shape of the data distribution and the context in which the data were gathered.
321	CCSS.MATH.CONTENT.7.RP.A	cluster	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Analyze proportional relationships and use them to solve real-world and mathematical problems.
322	CCSS.MATH.CONTENT.7.RP.A.1	standard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.
323	CCSS.MATH.CONTENT.7.RP.A.2	standard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Recognize and represent proportional relationships between quantities.
324	CCSS.MATH.CONTENT.7.RP.A.2.A	substandard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Decide whether two quantities are in a proportional relationship, e.g., by testing for equivalent ratios in a table or graphing on a coordinate plane and observing whether the graph is a straight line through the origin.
325	CCSS.MATH.CONTENT.7.RP.A.2.B	substandard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.
326	CCSS.MATH.CONTENT.7.RP.A.2.C	substandard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Represent proportional relationships by equations.
327	CCSS.MATH.CONTENT.7.RP.A.2.D	substandard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Explain what a point (x, y) on the graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.
328	CCSS.MATH.CONTENT.7.RP.A.3	standard	Grade 7: Ratios and Proportional Relationships	math-content-standards	Ratios and Proportional Relationships	7	Use proportional relationships to solve multistep ratio and percent problems.
329	CCSS.MATH.CONTENT.7.NS.A	cluster	Grade 7: The Number System	math-content-standards	The Number System	7	Apply and extend previous understandings of operations with fractions.
330	CCSS.MATH.CONTENT.7.NS.A.1	standard	Grade 7: The Number System	math-content-standards	The Number System	7	Apply and extend previous understandings of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.
331	CCSS.MATH.CONTENT.7.NS.A.1.A	substandard	Grade 7: The Number System	math-content-standards	The Number System	7	Describe situations in which opposite quantities combine to make 0.
332	CCSS.MATH.CONTENT.7.NS.A.1.B	substandard	Grade 7: The Number System	math-content-standards	The Number System	7	Understand p + q as the number located a distance |q| from p, in the positive or negative direction depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.
